"Country","Program","Credit Granting School","Grade System"
"Argentina","Instituto Tecnológico de Buenos Aires in Argentina (Global E3) (Exchange)","Instituto Technologico de Buenos Aires","Argentine Grade System"
"Argentina","Summer in Argentina - Universidad Belgrano sponsored by CIS Abroad","Universidad Belagrano","Argentine Grade System"
"Argentina","University of Belgrano: Intensive Spanish Language - Semester in Buenos Aires, Argentina sponsored by ISA","Universidad Belagrano","Argentine Grade System"
"Argentina","University of Belgrano: Intensive Spanish Language - Summer in Buenos Aires, Argentina sponsored by ISA","Universidad Belagrano","Argentine Grade System"
"Argentina","University of Belgrano: Latin American Studies - Semester/Academic Year in Buenos Aires, Argentina sponsored by ISA","Universidad Belagrano","Argentine Grade System"
"Argentina","International Internship for Engineers in Cordoba, Argentina sponsored by Blas Pascal University","Blas Pacal University","Argentinian Grade Scale"
"Argentina","Engineering in Buenos Aires, Argentina sponsored by CEA","University of New Haven","US Grade System"
"Australia","Bond University in Gold Coast, Australia: Business, Communication, Built Environment, Health Science & Liberal Arts sponsored by ISA","Bond University","Australian Post-Secondary Grade System"
"Australia","International College of Management, Sydney, Australia (ICMS)","International College of Management Sydney","Australian Post-Secondary Grade System"
"Australia","La Trobe University (Exchange) (Exchange)","La Trobe University","Australian Post-Secondary Grade System"
"Australia","La Trobe University in Melbourne, Australia sponsored by CIS Abroad","La Trobe University","Australian Post-Secondary Grade System"
"Australia","University of New South Wales (Global E3) (Exchange)","University of New South Wales","Australian Post-Secondary Grade System"
"Australia","University of Newcastle in Australia (Global E3) (Exchange)","University of Newcastle","Australian Post-Secondary Grade System"
"Australia","University of Queensland: Courses with Locals in Multiple Disciplines - Academic Year/Semester in Brisbane, Australia sponsored by ISA","University of Queensland","Australian Post-Secondary Grade System"
"Australia","University of Sydney in Sydney, Australia","University of Sydney","Australian Post-Secondary Grade System"
"Australia","University of Technology, Sydney: Design, Business, Engineering, Media & Information Technology Studies - Academic Year/Semester in Sydney, Australia sponsored by ISA","University of Technology, Sydney","Australian Post-Secondary Grade System"
"Australia","International Internship for Engineers in Brisbane, Australia sponsored by CIS Abroad","No Credit","No Credit"
"Australia","STEM Summer Research in Brisbane, Australia sponsored by Arcadia University","Arcadia University","US Grade System"
"Australia","International Internship in Sydney, Australia sponsored by Global Experiences","Fairfield University","US Grade System"
"Australia","Rainforest to Reef in Atherton Tablelands, Australia sponsored by The School for Field Studies","The School for Field Studies","US Grade System"
"Australia","Rainforests of New Zealand and Australia in North Queensland, Australia sponsored by The School for Field Studies","The School for Field Studies","US Grade System"
"Australia","Techniques for Rainforest Research in Atherton Tablelands, Australia sponsored by The School for Field Studies","The School for Field Studies","US Grade System"
"Australia","International Internship in Sydney, Australia sponsored by CEA","University of New Haven","US Grade System"
"Austria","Karl Franzens University Graz in Graz, Austria (MAUI consortium) (Exchange)","Karl Franzens University","Austrian Grade System"
"Austria","University of Salzburg in Austria sponsored by AIFS","University of Salzburg","Austrian Grade System"
"Austria","Music in Vienna - Semester/Academic Year in Vienna, Austria sponsored by IES Abroad","University of Rochester","US Grade System"
"Austria","Music in Vienna - Summer in Vienna, Austria sponsored by IES Abroad","University of Rochester","US Grade System"
"Belize","Studies in Belize in San Ignacio, Belize sponsored by CELA","Sacred Heart Junior College","Belize Grade System"
"Bhutan","Center for Himalayan Environment & Development Studies in Paro, Bhutan sponsored by The School for Field Studies","The School for Field Studies","US Grade System"
"Brazil","International Internship for Engineers at ITAIPU Binacional Sponsored by UDC Brazil","No Credit","No Credit"
"Brazil","International Internship for Engineers in Brazil Sponsored by Brazilian Experience","No Credit","No Credit"
"Brazil","International Internship for Engineers in Brazil Sponsored by Campus B","No Credit","No Credit"
"Cambodia","Center for Conservation and Development Studies in Siem Reap, Cambodia sponsored by The School for Field Studies","The School for Field Studies","US Grade System"
"Chile","Engineering in Antofagasta, Chile sponsored by Universidad Catolica del Norte","No Credit","No Credit"
"Chile","International Internship in Santiago, Chile sponsored by API","Nichols College","US Grade System"
"Chile","Wild Patagonia: Fire and Ice in Puerto Natales, Chile sponsored by The School for Field Studies","The School for Field Studies","US Grade System"
"Chile","Pontificia Universidad Catolica de Valparaiso in Valparaiso, Chile (Exchange)","Pontifica Universidad Catolica de Valpariso","Chilean Grade System"
"China","Peking University: Intensive Chinese Language - Semester in Beijing, China sponsored by CIEE","Peking University","Chinese Grade System"
"China","Peking University: Intensive Chinese Language - Summer in Beijing, China sponsored by CIEE","Peking University","Chinese Grade System"
"China","Xiamen University in Xiamen, China (Global E3) (Exchange)","Xiamen University","Chinese Grade System"
"China","Hong Kong Polytechnic University (Global E3) in Hong Kong, China (Exchange)","Hong Kong Polytechnic University","Hong Kong Grading Scale"
"China","21st Century City in Shanghai, China sponsored by IFSA-Butler","Butler University","US Grade System"
"China","Intensive Chinese Language in Shanghai, China sponsored by IFSA-Butler","Butler University","US Grade System"
"China","International Business in Shanghai, China sponsored by IFSA-Butler","Butler University","US Grade System"
"China","Summer in Shanghai, China sponsored by IFSA-Butler","Butler University","US Grade System"
"China","East China Normal University in Shanghai, China: Business, Chinese Studies & Language - Semester/Academic Year sponsored by ISA","East China Normal University","US Grade System"
"China","East China Normal University in Shanghai, China: Intensive Chinese Language sponsored by ISA","East China Normal University","US Grade System"
"China","East China Normal University, Summer in Shanghai China sponsored by API","East China Normal University","US Grade System"
"China","International Internship in Beijing, China sponsored by CRCC Asia","St. Peters University","US Grade System"
"China","International Internship in Shanghai, China sponsored by CRCC Asia","St. Peters University","US Grade System"
"China","International Internship in Shenzhen, China sponsored by CRCC Asia","St. Peters University","US Grade System"
"China","University of Michigan - Shanghai Jiao Tong University Joint Institute in Shanghai, China (Global E3) (Exchange)","University of Michigan","US Grade System"
"China","Lanzhou University in Lanzhou, China (Exchange)","Lanzhou University","Chinese Grade System"
"China","University Immersion Program in Chengdu, China sponsored by Sichuan University","Sichuan University","Chinese Grade System"
"Colombia","Universidad de los Andes in Bogota, Colombia (Global E3) (Exchange)","Universidad de los Andes","Colombian Grade System"
"Colombia","UniNorte in Barranquilla, Colombia (Exchange)","Universidad del Norte","Colombian Grade System"
"Costa Rica","Veritas University: Health Care Courses in English & Medical Spanish - Summer in San José, Costa Rica sponsored by ISA","Veritas University","Costa Rican Grade System"
"Costa Rica","International Internship in San Jose, Costa Rica sponsored by Global Experiences","Fairfield University","US Grade System"
"Costa Rica","Fundamentals of Sustainability Research in Atenas, Costa Rica sponsored by The School for Field Studies","The School for Field Studies","US Grade System"
"Costa Rica","Sustainable Development Studies in Atenas, Costa Rica sponsored by The School for Field Studies","The School for Field Studies","US Grade System"
"Costa Rica","Sustaining Tropical Ecosystems: Biodiversity, Conservation, Development in Atenas, Costa Rica sponsored by The School for Field Studies","The School for Field Studies","US Grade System"
"Costa Rica","International Internship in San Jose, Costa Rica sponsored by CEA","University of New Haven","US Grade System"
"Croatia","Zagreb School of Economics and Management in Zagreb, Croatia (Exchange)","Zagreb University","Croatian Grade System"
"Cyprus","Summer Engineering at the University of Nicosia in Cyprus","University of Nicosia","US Grade System"
"Cyprus","University of Nicosia in Cyprus - Semester","University of Nicosia","US Grade System"
"Cyprus","University of Nicosia in Cyprus - Summer","University of Nicosia","US Grade System"
"Czech Republic","Charles University in Prague, Czech Republic: Semester/Academic Year sponsored by AIFS","Charles University","Czech Republic Grade System"
"Czech Republic","Charles University in Prague, Czech Republic: Summer sponsored by AIFS","Charles University","Czech Republic Grade System"
"Czech Republic","Czech Technical University in Prague, Czech Republic (Exchange)","Czech Technical University","Czech Republic Grade System"
"Czech Republic","Masaryk University in Brno, Czech Republic (MAUI consortium) (Exchange)","Masaryk Univresity in Brno","Czech Republic Grade System"
"Czech Republic","Great Cities sponsored by IAU","IAU","IAU Grades"
"Czech Republic","University of New York in Prague, Czech Republic - Affiliate","University of New York in Prague","US Grade System"
"Czech Republic","University of New York in Prague, Czech Republic - Exchange (Exchange)","University of New York in Prague","US Grade System"
"Denmark","DTU - Technical University of Denmark in Copenhagen, Denmark (Global E3) (Exchange)","Technical University in Denmark","Danish Grade System"
"Denmark","University of Copenhagen in Denmark - Law Exchange (Exchange)","University of Copenhagen","Danish Grade System"
"Denmark","Semester Courses in Copenhagen, Denmark sponsored by DIS","Danish Institute for Study Abroad","US Grade System"
"Denmark","Summer Courses in Copenhagen, Denmark sponsored by DIS","Danish Institute for Study Abroad","US Grade System"
"Ecuador","Urban/Rural Andean Health in Quito, Ecuador sponsored by CFHI","No Credit","No Credit"
"Estonia","University of Tartu in Tartu, Estonia (MAUI consortium) (Exchange)","University of Tartu","Estonian Grade System"
"Fiji","University of the South Pacific: Environmental Studies, Education & Liberal Arts in Suva, Fiji sponsored by ISA","University of the South Pacific","Fiji Grade System"
"Finland","Helsinki Metropolia University of Applied Sciences in Helsinki, Finland (Exchange)","Helsinki Metropolia University","Finnish Grade System"
"Finland","University of Helsinki in Finland (MAUI consortium) (Exchange)","University of Helsinki","Finnish Grade System"
"France","American Business School Paris in Paris, France: Business, Culture & French Language - Summer sponsored by ISA","American Business School in Paris","French Grade System"
"France","American Business School Paris in Paris, France: Business, French Language & Electives - Semester/Academic Year sponsored by ISA","American Business School in Paris","French Grade System"
"France","International College of Cannes in Cannes, France sponsored by AIFS","College International de Cannes","French Grade System"
"France","Ecole Nationale Supérieure des Arts et Métiers in Paris, France (ENSAM) (Exchange)","ENSAM","French Grade System"
"France","The Sorbonne: Semester/Academic Year in Paris, France sponsored by AIFS","La Sorbonne","French Grade System"
"France","The Sorbonne: Summer in Paris France sponsored by AIFS","La Sorbonne","French Grade System"
"France","Summer Research at the University of Limoges","Limoges University","French Grade System"
"France","University of Caen: French Language & Culture in Caen, France sponsored by API","Universite de Caen Normandy","French Grade System"
"France","University of Caen: Intensive Language - Summer in Caen, France sponsored by API","Universite de Caen Normandy","French Grade System"
"France","Université de Lille Sciences et Technologies in Lille, France (MAUI consortium) (Exchange)","Universite de Lille","French Grade System"
"France","UTT - Université de Technologie de Troyes in France (Global E3) (Exchange)","Universite de Technologie de Troyes","French Grade System"
"France","Universite Jean Moulin Lyon 3 in Lyon, France (Exchange)","Universite Jean Moulin Lyon 3","French Grade System"
"France","ENSEA in Cergy-pontoise, France - Ecole Nationale Supérieure de l'Electronique et de ses Applications (Global E3) (Exchange)","University of Cergy - Pontoise","French Grade System"
"France","University Grenoble Alpes: French Language and Culture in Grenoble, France sponsored by AIFS","University of Grenoble","French Grade System"
"France","University Grenoble Alpes: Intensive French Language - Semester or Academic Year in Grenoble, France sponsored by AIFS","University of Grenoble","French Grade System"
"France","Europe & The Islamic World sponsored by IAU","IAU","IAU Grades"
"France","Great Cities sponsored by IAU","IAU","IAU Grades"
"France","Mediterranean Basin sponsored by IAU","IAU","IAU Grades"
"France","Mediterranean Ecology sponsored by IAU","IAU","IAU Grades"
"France","Psychology of Peace and Conflict in the Mediterranean sponsored by IAU","IAU","IAU Grades"
"France","Wine, Gastronomy & Sustainability of the Mediterranean Traveling Seminar sponsored by IAU","IAU","IAU Grades"
"France","International Internship in France, Sponsored by IAU","IAU","IAU Grades"
"France","International Internship in Paris, France sponsored by Global Experiences","Fairfield University","US Grade System"
"France","Engineering in Paris, France sponsored by CEA","University of New Haven","US Grade System"
"France","International Internship in Paris, France sponsored by CEA","University of New Haven","US Grade System"
"Germany","Hamburg University of Applied Sciences (Global E3)","Hamburg University of Applied Sciences","German Grade System"
"Germany","European Study Center in Heidelberg, Germany sponsored by CEPA","International House Heidleberg","German Grade System"
"Germany","College of Engineering Summer II in Wilhelmshaven, Germany (Exchange)","Jade Hoschule","German Grade System"
"Germany","Engineering Research in Wilhelmshaven, Germany sponsored by Jade University of Applied Sciences","Jade Hoschule","German Grade System"
"Germany","MUAS - Munich University of Applied Sciences in Munich, Germany (Exchange)","Munich University of Applied Sciences","German Grade System"
"Germany","MUAS - Munich University of Applied Sciences: Supply Chain Management - Summer in Munich, Germany","Munich University of Applied Sciences","German Grade System"
"Germany","Westfalische Wilhelms-Universitaet in Muenster, Germany - Law Exchange (Exchange)","Westfalische Wilhelms-Universitaet","German Grade System"
"Germany","Freie University Berlin in Berlin, Germany: Intensive German Language - Summer sponsored by ISA","Freie University of Berlin","US Grade System"
"Germany","Freie University Berlin, in Berlin, Germany: German Language & European Studies sponsored by ISA","Freie University of Berlin","US Grade System"
"Ghana","Child Health and Social Determinants in Accra, Ghana sponsored by CFHI","No Credit","No Credit"
"Global Cruise","Semester at Sea","Colorado State University","US Grade System"
"Greece","Athens University for Economics and Business in Athens, Greece (Exchange)","Athens University for Economics and Business","Greek Grading System"
"Greece","Mediterranean Basin sponsored by IAU","IAU","IAU Grades"
"Greece","American College of Thessaloniki in Thessaloniki, Greece","American College of Thessaloniki","US Grade System"
"Hungary","Eötvös Loránd University in Budapest, Hungary (MAUI consortium) (Exchange)","Eotvos Lorand University","Hungarian Grade System"
"Hungary","University of Pecs in Hungary","University of Pecs","Hungarian Grade System"
"Iceland","Reykjavík University in Reykjavik, Iceland (Exchange)","Reykjavik University","Icelandic Grade System"
"Iceland","Reykjavik University: Business, Computer Science and Engineering Program in Reykjavik, Iceland sponsored by API","Reykjavik University","Icelandic Grade System"
"Iceland","SIT Study Abroad Iceland: Renewable Energy, Technology, and Resource Economics in Reykjavik, Iceland","World Learning SIT Study Abroad","US Grade System"
"India","Public Health Delivery Innovation and Community Medicine in New Delhi, India sponsored by CFHI","No Credit","No Credit"
"India","Contemporary India in Pune, India: Development, Economy, Society sponsored by IFSA-Butler","Butler University","US Grade System"
"Ireland","Theatre Alive: Theatre in Ireland and England sponsored by IAU","IAU","IAU Grades"
"Ireland","Maynooth University in Maynooth, Ireland","Maynooth University","Irish Grade System"
"Ireland","Maynooth University: Engineering - Summer in Maynooth, Ireland","Maynooth University","Irish Grade System"
"Ireland","University College Cork in Cork, Ireland (MAUI consortium) (Exchange)","University College Cork","Irish Grade System"
"Ireland","University of Limerick in Ireland","University of Limerick","Irish Grade System"
"Ireland","University College Dublin in Ireland","University College Dublin","UCD Grade Scale"
"Ireland","Parliamentary Internship in Dublin, Ireland sponsored by Arcadia University","Arcadia University","US Grade System"
"Ireland","STEM Summer Research in Dublin, Ireland sponsored by Arcadia University","Arcadia University","US Grade System"
"Ireland","STEM Summer Research in Limerick, Ireland sponsored by Arcadia University","Arcadia University","US Grade System"
"Ireland","International Internship in Dublin, Ireland sponsored by Global Experiences","Fairfield University","US Grade System"
"Ireland","International Internship in Dublin, Ireland sponsored by API","Nichols College","US Grade System"
"Ireland","Engineering in Dublin, Ireland sponsored by CEA","University of New Haven","US Grade System"
"Israel","Technion - Israel Institute of Technology in Haifa, Israel (Global E3) (Exchange)","Israel Institute of Technology","Israeli Grade System"
